1,Fernando,32,G
12,K. Maleki,25,G
6,M. Farziat,25,D
8,M. Asadi,37,D
14,M. Hosseini,31,D
23,A. Taghizadeh,22,D
40,B. Hatami,30,D
77,M. Ekrami,33,D
60,M. Tarshiz,38,D
2,M. Hamidi,31,M
5,Magno,31,M
11,M. Darvishi Ebrahimi,23,M
16,A. Naghizadeh,23,M
17,A. Khatibi,19,M
99,Amirhossein Karimi,20,M
61,M. Ghobakhloo,34,M
62,A. Jahan Alian,25,M
7,Y. Seyyedi,20,A
9,M. Khalatbari,33,A
10,D. Shojaeian,24,A
18,S. Koohnavard,32,A
29,Luciano Chimba,33,A
37,N. Mokhtari,18,A
61,M. Ebrahimzadeh,27,A
70,R. Khaleghifar,33,A
80,A. Arjmandian,20,A
63,P. Babaei,22,A
64,M. Salehi,35,A
