60,R. Yazdan Doust,25,D
1,H. Houri,25,G
22,A. Etemadi,29,G
33,M. Deris,25,G
61,M. Sotoudeh,25,G
2,R. Alabi,30,D
4,M. Mamshali,25,D
19,H. Saki,19,D
62,A. Abbasi,22,D
63,R. Hashemi,25,D
64,M. Lameinezhad,25,D
65,A. Mardasi,25,D
5,A. Abdollahzadeh,23,M
6,Gwi-Hyeon Kim,26,M
7,M. Pourmohammad,29,M
10,A. Zoleikani,27,M
11,M. Jahani,27,M
12,M. Darizadeh,25,M
14,Bruno,26,M
15,Hossein Baghlani,26,M
20,M. Niknafas,25,M
23,M. Mojdemi,25,M
29,R. Jabireh,19,M
30,M. Shabanloo,21,M
66,S. Barkhordari,21,M
67,M. Bohrani,25,M
68,B. Bonyadzadeh,22,M
69,M. Hojoumi,25,M
70,S. Mousavi,21,M
71,Z. Niknafs,27,M
72,H. Tahazadeh,25,M
73,H. Taherifard,25,M
3,F. Faraji,22,A
8,H. Nasari,30,A
9,R. Norouzi,34,A
13,M. Ahmadi,25,A
17,M. Shadkam,25,A
18,D. Santoya,28,A
74,P. Miri,24,A
