1,Andrey,33,G
21,M. Naseri,23,G
60,M. Ein Afshar,34,G
61,M. Ghadimipour,22,G
2,P. Malekian,20,D
4,M. Khanzadeh,25,D
5,M. Aghaei,21,D
6,Meisam Hosseini,29,D
19,A. Jafari,25,D
23,S. Moradi,27,D
24,H. Aliasgari,26,D
44,A. Kazemian,26,D
62,B. Afshar,30,D
63,M. Jafarpour,32,D
64,M. Rezaei,21,D
65,A. Sedghi,20,D
3,R. Sharbati,21,M
7,R. Darvishi,30,M
8,H. Badamaki,35,M
9,M. Ahmadi,28,M
10,A. Kalantari,26,M
28,A. Zarei,20,M
50,S. Daghighi,31,M
88,F.Hashemi,19,M
66,S. Afrasiabi,25,M
67,T. Davoudian,20,M
68,P. Esmaeilian,25,M
69,E. Karimi,30,M
70,H. Karimi,24,M
71,Milad Nouri,30,M
72,M. Safaei,22,M
73,S. Vaese'ei,22,M
11,M. Ranjbar,26,A
17,M. Traoré,26,A
27,R. Seifollahi,25,A
90,A. Asgari,26,A
74,M. Menarizadeh,26,A
75,I. Mousavi,27,A
76,V. Najafi,22,A
77,A. Shojaeian,28,A
